"a","aname","bdate","sexo","f"
"http://dbpedia.org/resource/Anthony_Quinn","Anthony Quinn","1915-4-21","male","http://dbpedia.org/resource/The_Visit_(1964_film)"
"http://dbpedia.org/resource/Anthony_Quinn","Anthony Quinn",1915-04-21,"male","http://dbpedia.org/resource/The_Wild_Party_(1956_film)"
"http://dbpedia.org/resource/Anthony_Quinn","Anthony Quinn","1915-4-21","male","http://dbpedia.org/resource/The_Wild_Party_(1956_film)"
"http://dbpedia.org/resource/Catherine_Deneuve","Catherine Deneuve",1943-10-22,"female","http://dbpedia.org/resource/Time_Regained_(film)"
"http://dbpedia.org/resource/Christopher_Lee","Christopher Lee",1922-05-27,"male","http://dbpedia.org/resource/The_Skull"
"http://dbpedia.org/resource/Christopher_Lee","Christopher Lee","1922-5-27","male","http://dbpedia.org/resource/The_Skull"
"http://dbpedia.org/resource/David_Niven","David Niven",1910-03-01,"male","http://dbpedia.org/resource/Wuthering_Heights_(1939_film)"
"http://dbpedia.org/resource/David_Niven","David Niven","1910-3-1","male","http://dbpedia.org/resource/Wuthering_Heights_(1939_film)"
"http://dbpedia.org/resource/Gillian_Anderson","Gillian Anderson",1968-08-09,"female","http://dbpedia.org/resource/The_X-Files:_I_Want_to_Believe"
"http://dbpedia.org/resource/Gillian_Anderson","Gillian Anderson","1968-8-9","female","http://dbpedia.org/resource/The_X-Files:_I_Want_to_Believe"
"http://dbpedia.org/resource/Gillian_Anderson","Gillian Anderson",1968-08-09,"female","http://dbpedia.org/resource/The_X-Files_(film)"
"http://dbpedia.org/resource/Gillian_Anderson","Gillian Anderson","1968-8-9","female","http://dbpedia.org/resource/The_X-Files_(film)"
"http://dbpedia.org/resource/Ingrid_Bergman","Ingrid Bergman",1915-08-29,"female","http://dbpedia.org/resource/The_Visit_(1964_film)"
"http://dbpedia.org/resource/Ingrid_Bergman","Ingrid Bergman","1915-8-29","female","http://dbpedia.org/resource/The_Visit_(1964_film)"
"http://dbpedia.org/resource/Katharine_Hepburn","Katharine Hepburn",1907-05-12,"female","http://dbpedia.org/resource/Undercurrent_(1946_film)"
"http://dbpedia.org/resource/Katharine_Hepburn","Katharine Hepburn","1907-5-12","female","http://dbpedia.org/resource/Undercurrent_(1946_film)"
"http://dbpedia.org/resource/Laurence_Olivier","Laurence Olivier","1907-5-22","male","http://dbpedia.org/resource/Wuthering_Heights_(1939_film)"
"http://dbpedia.org/resource/Leonard_Nimoy","Leonard Nimoy",1931-03-26,"male","http://dbpedia.org/resource/Zambezia_(film)"
"http://dbpedia.org/resource/Leonard_Nimoy","Leonard Nimoy","1931-3-26","male","http://dbpedia.org/resource/Zambezia_(film)"
"http://dbpedia.org/resource/Mel_Blanc","Mel Blanc",1908-05-30,"male","http://dbpedia.org/resource/Three_Brothers_(1944_film)"
"http://dbpedia.org/resource/Mel_Blanc","Mel Blanc","1908-5-30","male","http://dbpedia.org/resource/Three_Brothers_(1944_film)"
"http://dbpedia.org/resource/Paul_Newman","Paul Newman",1925-01-26,"male","http://dbpedia.org/resource/Twilight_(1998_film)"
"http://dbpedia.org/resource/Paul_Newman","Paul Newman","1925-1-26","male","http://dbpedia.org/resource/Twilight_(1998_film)"
"http://dbpedia.org/resource/Rebecca_De_Mornay","Rebecca De Mornay",1959-08-29,"female","http://dbpedia.org/resource/The_Winner_(1996_film)"
"http://dbpedia.org/resource/Rebecca_De_Mornay","Rebecca De Mornay","1959-8-29","female","http://dbpedia.org/resource/The_Winner_(1996_film)"
"http://dbpedia.org/resource/Robin_Williams","Robin Williams",1951-07-21,"male","http://dbpedia.org/resource/Toys_(film)"
"http://dbpedia.org/resource/Robin_Williams","Robin Williams","1951-7-21","male","http://dbpedia.org/resource/Toys_(film)"
"http://dbpedia.org/resource/Samuel_L._Jackson","Samuel L. Jackson",1948-12-21,"male","http://dbpedia.org/resource/Turbo_(film)"
"http://dbpedia.org/resource/Samuel_L._Jackson","Samuel L. Jackson",1948-12-21,"male","http://dbpedia.org/resource/Zambezia_(film)"
"http://dbpedia.org/resource/Tim_Curry","Tim Curry",1946-04-19,"male","http://dbpedia.org/resource/Times_Square_(film)"
"http://dbpedia.org/resource/Tim_Curry","Tim Curry","1946-4-19","male","http://dbpedia.org/resource/Times_Square_(film)"
"http://dbpedia.org/resource/Victor_McLaglen","Victor McLaglen",1886-12-10,"male","http://dbpedia.org/resource/The_Unholy_Three_(1925_film)"
"http://dbpedia.org/resource/Woody_Allen","Woody Allen",1935-12-01,"male","http://dbpedia.org/resource/What's_Up,_Tiger_Lily%3F"
"http://dbpedia.org/resource/Woody_Allen","Woody Allen","1935-12-1","male","http://dbpedia.org/resource/What's_Up,_Tiger_Lily%3F"
"http://dbpedia.org/resource/Sadha","Sadha",1984-02-17,"female","http://dbpedia.org/resource/Khallballi!"
"http://dbpedia.org/resource/Sadha","Sadha","1984-2-17","female","http://dbpedia.org/resource/Khallballi!"
"http://dbpedia.org/resource/Christopher_Lloyd","Christopher Lloyd",1938-10-22,"male","http://dbpedia.org/resource/Snowmen_(film)"
"http://dbpedia.org/resource/David_Morse_(actor)","David Morse",1953-10-11,"male","http://dbpedia.org/resource/Yellow_(2012_film)"
"http://dbpedia.org/resource/Deanna_Dunagan","Deanna Dunagan",1940-05-25,"female","http://dbpedia.org/resource/The_Visit_(2015_American_film)"
"http://dbpedia.org/resource/Deanna_Dunagan","Deanna Dunagan","1940-5-25","female","http://dbpedia.org/resource/The_Visit_(2015_American_film)"
"http://dbpedia.org/resource/Isaac_Rademacher","Isaac Rademacher","1977-3-10","male","http://dbpedia.org/resource/Brothers_at_War"
"http://dbpedia.org/resource/Jack_Thompson_(actor)","Jack Thompson",1940-08-31,"male","http://dbpedia.org/resource/Turtle_Beach_(film)"
"http://dbpedia.org/resource/Jack_Thompson_(actor)","Jack Thompson","1940-8-31","male","http://dbpedia.org/resource/Turtle_Beach_(film)"
"http://dbpedia.org/resource/Jake_Rademacher","Jake Rademacher",1975-03-26,"male","http://dbpedia.org/resource/Brothers_at_War"
"http://dbpedia.org/resource/Jake_Rademacher","Jake Rademacher","1975-3-26","male","http://dbpedia.org/resource/Brothers_at_War"
"http://dbpedia.org/resource/Jodelle_Ferland","Jodelle Ferland",1994-10-09,"female","http://dbpedia.org/resource/The_Tall_Man_(2012_film)"
"http://dbpedia.org/resource/Jodelle_Ferland","Jodelle Ferland","1994-10-9","female","http://dbpedia.org/resource/The_Tall_Man_(2012_film)"
"http://dbpedia.org/resource/Jorge_Mistral","Jorge Mistral",1920-11-24,"male","http://dbpedia.org/resource/Wuthering_Heights_(1954_film)"
"http://dbpedia.org/resource/Joseph_Rademacher_(soldier)","Joseph Rademacher","1985-5-2","male","http://dbpedia.org/resource/Brothers_at_War"
